epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.54177,2.05155,2.8406,1.18966,0.94431,0.63871,0.936,0.50111,1.61523,2.16606,1.01419,0.000413411,0.000413411,0.000413411
2,15.3303,1.68509,1.29134,1.04244,0.93624,0.96345,0.97682,0.5338,1.61563,0.94737,1.03491,0.00082186,0.00082186,0.00082186
3,21.8821,1.60467,1.04847,1.02383,0.91195,0.9415,0.97164,0.53787,1.57432,0.87604,1.01342,0.00122206,0.00122206,0.00122206
4,28.3036,1.59588,0.91157,1.00954,0.91295,0.94824,0.9801,0.55761,1.54299,0.77246,1.00324,0.00121287,0.00121287,0.00121287
5,34.6879,1.58323,0.83343,1.0111,0.94346,0.96668,0.98389,0.55388,1.56521,0.73334,1.01993,0.0012005,0.0012005,0.0012005
6,41.0492,1.5885,0.81156,1.00989,0.90831,0.96464,0.98179,0.55711,1.58892,0.75524,1.01184,0.00118812,0.00118812,0.00118812
7,47.5204,1.57168,0.77505,1.00541,0.96117,0.96066,0.98861,0.58379,1.52727,0.68534,0.99561,0.00117575,0.00117575,0.00117575
8,54.0821,1.53198,0.74592,0.98809,0.96354,0.96829,0.9853,0.56252,1.55558,0.69672,0.99793,0.00116337,0.00116337,0.00116337
9,60.5786,1.53135,0.72593,0.99047,0.95524,0.97793,0.98753,0.58462,1.51386,0.65725,0.99184,0.001151,0.001151,0.001151
10,67.0142,1.50906,0.71653,0.97983,0.94762,0.96498,0.98788,0.58195,1.52237,0.65864,0.98726,0.00113863,0.00113863,0.00113863
11,73.596,1.51929,0.71255,0.98162,0.95414,0.9867,0.98887,0.57685,1.49179,0.67207,0.98925,0.00112625,0.00112625,0.00112625
12,80.0666,1.50344,0.6917,0.98027,0.96538,0.98158,0.98696,0.57981,1.54183,0.66839,1.00021,0.00111388,0.00111388,0.00111388
13,86.5353,1.48035,0.67672,0.97664,0.95046,0.98547,0.9866,0.59735,1.46737,0.66629,0.97768,0.0011015,0.0011015,0.0011015
14,92.9513,1.49662,0.68075,0.97516,0.94657,0.98086,0.98865,0.58042,1.52954,0.64376,0.99752,0.00108913,0.00108913,0.00108913
15,99.3232,1.4767,0.67209,0.97524,0.94798,0.9656,0.98663,0.58585,1.50809,0.66055,0.99003,0.00107675,0.00107675,0.00107675
16,105.629,1.48998,0.67382,0.97327,0.9666,0.97654,0.9877,0.59327,1.49422,0.64064,0.98322,0.00106437,0.00106437,0.00106437
17,112.095,1.46492,0.66274,0.97236,0.93839,0.97062,0.98266,0.59899,1.4887,0.66698,0.97997,0.001052,0.001052,0.001052
18,118.517,1.47344,0.6549,0.97005,0.95633,0.98371,0.98861,0.59363,1.49215,0.64088,0.98559,0.00103962,0.00103962,0.00103962
19,124.932,1.48802,0.66975,0.97763,0.95214,0.98202,0.98241,0.59558,1.46835,0.62524,0.97886,0.00102725,0.00102725,0.00102725
20,131.361,1.4637,0.65281,0.96658,0.96077,0.97675,0.99027,0.60349,1.47583,0.61784,0.97824,0.00101488,0.00101488,0.00101488
21,137.925,1.46419,0.64328,0.96945,0.969,0.97367,0.98942,0.60808,1.47428,0.6221,0.97436,0.0010025,0.0010025,0.0010025
22,144.413,1.45716,0.64051,0.96979,0.94595,0.95867,0.97569,0.59095,1.49094,0.65552,0.98157,0.000990125,0.000990125,0.000990125
23,150.841,1.44932,0.63597,0.96295,0.96945,0.97966,0.98977,0.60121,1.49553,0.62125,0.98032,0.00097775,0.00097775,0.00097775
24,157.235,1.45148,0.63733,0.96639,0.95463,0.97625,0.9873,0.60368,1.46683,0.62219,0.97493,0.000965375,0.000965375,0.000965375
25,163.39,1.44214,0.62674,0.96381,0.96937,0.98098,0.99001,0.59661,1.4729,0.60252,0.97203,0.000953,0.000953,0.000953
26,169.553,1.43181,0.62449,0.95964,0.95962,0.98315,0.98987,0.60293,1.45909,0.60181,0.97315,0.000940625,0.000940625,0.000940625
27,175.637,1.43227,0.62568,0.95786,0.96042,0.9825,0.98942,0.60339,1.46815,0.61246,0.96747,0.00092825,0.00092825,0.00092825
